,CreditScore,Geography,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,bin_age,gender_0,gender_1
0,619,France,42,2,0.0,1,1,1,101348.88,1,3,1,0
1,608,Spain,41,1,83807.86,1,0,1,112542.58,0,3,1,0
2,502,France,42,8,159660.8,3,1,0,113931.57,1,3,1,0
3,699,France,39,1,0.0,2,0,0,93826.63,0,2,1,0
4,850,Spain,43,2,125510.82,1,1,1,79084.1,0,3,1,0
5,645,Spain,44,8,113755.78,2,1,0,149756.71,1,3,0,1
6,822,France,50,7,0.0,2,1,1,10062.8,0,3,0,1
7,376,Germany,29,4,115046.74,4,1,0,119346.88,1,1,1,0
8,501,France,44,4,142051.07,2,0,1,74940.5,0,3,0,1
9,684,France,27,2,134603.88,1,1,1,71725.73,0,1,0,1
10,528,France,31,6,102016.72,2,0,0,80181.12,0,2,0,1
11,497,Spain,24,3,0.0,2,1,0,76390.01,0,1,0,1
12,476,France,34,10,0.0,2,1,0,26260.98,0,2,1,0
13,549,France,25,5,0.0,2,0,0,190857.79,0,1,1,0
14,635,Spain,35,7,0.0,2,1,1,65951.65,0,2,1,0
15,616,Germany,45,3,143129.41,2,0,1,64327.26,0,3,0,1
16,653,Germany,58,1,132602.88,1,1,0,5097.67,1,4,0,1
17,549,Spain,24,9,0.0,2,1,1,14406.41,0,1,1,0
18,587,Spain,45,6,0.0,1,0,0,158684.81,0,3,0,1
19,726,France,24,6,0.0,2,1,1,54724.03,0,1,1,0
20,732,France,41,8,0.0,2,1,1,170886.17,0,3,0,1
21,636,Spain,32,8,0.0,2,1,0,138555.46,0,2,1,0
22,510,Spain,38,4,0.0,1,1,0,118913.53,1,2,1,0
23,669,France,46,3,0.0,2,0,1,8487.75,0,3,0,1
24,846,France,38,5,0.0,1,1,1,187616.16,0,2,1,0
25,577,France,25,3,0.0,2,0,1,124508.29,0,1,0,1
26,756,Germany,36,2,136815.64,1,1,1,170041.95,0,2,0,1
27,571,France,44,9,0.0,2,0,0,38433.35,0,3,0,1
28,574,Germany,43,3,141349.43,1,1,1,100187.43,0,3,1,0
29,411,France,29,0,59697.17,2,1,1,53483.21,0,1,0,1
30,591,Spain,39,3,0.0,3,1,0,140469.38,1,2,1,0
31,533,France,36,7,85311.7,1,0,1,156731.91,0,2,0,1
32,553,Germany,41,9,110112.54,2,0,0,81898.81,0,3,0,1
33,520,Spain,42,6,0.0,2,1,1,34410.55,0,3,1,0
34,722,Spain,29,9,0.0,2,1,1,142033.07,0,1,1,0
35,475,France,45,0,134264.04,1,1,0,27822.99,1,3,1,0
36,490,Spain,31,3,145260.23,1,0,1,114066.77,0,2,0,1
37,804,Spain,33,7,76548.6,1,0,1,98453.45,0,2,0,1
38,850,France,36,7,0.0,1,1,1,40812.9,0,2,0,1
39,582,Germany,41,6,70349.48,2,0,1,178074.04,0,3,0,1
40,472,Spain,40,4,0.0,1,1,0,70154.22,0,2,0,1
41,465,France,51,8,122522.32,1,0,0,181297.65,1,4,1,0
42,556,France,61,2,117419.35,1,1,1,94153.83,0,5,1,0
43,834,France,49,2,131394.56,1,0,0,194365.76,1,3,1,0
44,660,Spain,61,5,155931.11,1,1,1,158338.39,0,5,1,0
45,776,Germany,32,4,109421.13,2,1,1,126517.46,0,2,1,0
46,829,Germany,27,9,112045.67,1,1,1,119708.21,1,1,1,0
47,637,Germany,39,9,137843.8,1,1,1,117622.8,1,2,1,0
48,550,Germany,38,2,103391.38,1,0,1,90878.13,0,2,0,1
49,776,Germany,37,2,103769.22,2,1,0,194099.12,0,2,1,0
50,698,Germany,44,10,116363.37,2,1,0,198059.16,0,3,0,1
51,585,Germany,36,5,146050.97,2,0,0,86424.57,0,2,0,1
52,788,France,33,5,0.0,2,0,0,116978.19,0,2,1,0
53,655,Germany,41,8,125561.97,1,0,0,164040.94,1,3,0,1
54,601,Germany,42,1,98495.72,1,1,0,40014.76,1,3,0,1
55,619,France,43,1,125211.92,1,1,1,113410.49,0,3,0,1
56,656,France,45,5,127864.4,1,1,0,87107.57,0,3,0,1
57,725,Germany,19,0,75888.2,1,0,0,45613.75,0,0,0,1
58,614,France,51,4,40685.92,1,1,1,46775.28,0,4,0,1
59,742,Germany,35,5,136857.0,1,0,0,84509.57,0,2,0,1
60,687,Germany,27,9,152328.88,2,0,0,126494.82,0,1,1,0
61,555,Spain,33,1,56084.69,2,0,0,178798.13,0,2,0,1
