,CreditScore,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,bin_age,Geography_France,Geography_Germany,Geography_Spain,gender_0,gender_1
0,619,2,0.0,1,1,1,101348.88,1,6,1,0,0,1,0
1,608,1,83807.86,1,0,1,112542.58,0,6,0,0,1,1,0
2,502,8,159660.8,3,1,0,113931.57,1,6,1,0,0,1,0
3,699,1,0.0,2,0,0,93826.63,0,5,1,0,0,1,0
4,850,2,125510.82,1,1,1,79084.1,0,6,0,0,1,1,0
5,645,8,113755.78,2,1,0,149756.71,1,6,0,0,1,0,1
6,822,7,0.0,2,1,1,10062.8,0,7,1,0,0,0,1
7,376,4,115046.74,4,1,0,119346.88,1,3,0,1,0,1,0
8,501,4,142051.07,2,0,1,74940.5,0,6,1,0,0,0,1
9,684,2,134603.88,1,1,1,71725.73,0,3,1,0,0,0,1
10,528,6,102016.72,2,0,0,80181.12,0,4,1,0,0,0,1
11,497,3,0.0,2,1,0,76390.01,0,2,0,0,1,0,1
12,476,10,0.0,2,1,0,26260.98,0,4,1,0,0,1,0
13,549,5,0.0,2,0,0,190857.79,0,2,1,0,0,1,0
14,635,7,0.0,2,1,1,65951.65,0,4,0,0,1,1,0
15,616,3,143129.41,2,0,1,64327.26,0,6,0,1,0,0,1
16,653,1,132602.88,1,1,0,5097.67,1,9,0,1,0,0,1
17,549,9,0.0,2,1,1,14406.41,0,2,0,0,1,1,0
18,587,6,0.0,1,0,0,158684.81,0,6,0,0,1,0,1
19,726,6,0.0,2,1,1,54724.03,0,2,1,0,0,1,0
20,732,8,0.0,2,1,1,170886.17,0,6,1,0,0,0,1
21,636,8,0.0,2,1,0,138555.46,0,4,0,0,1,1,0
22,510,4,0.0,1,1,0,118913.53,1,5,0,0,1,1,0
23,669,3,0.0,2,0,1,8487.75,0,7,1,0,0,0,1
24,846,5,0.0,1,1,1,187616.16,0,5,1,0,0,1,0
25,577,3,0.0,2,0,1,124508.29,0,2,1,0,0,0,1
26,756,2,136815.64,1,1,1,170041.95,0,5,0,1,0,0,1
27,571,9,0.0,2,0,0,38433.35,0,6,1,0,0,0,1
28,574,3,141349.43,1,1,1,100187.43,0,6,0,1,0,1,0
29,411,0,59697.17,2,1,1,53483.21,0,3,1,0,0,0,1
30,591,3,0.0,3,1,0,140469.38,1,5,0,0,1,1,0
31,533,7,85311.7,1,0,1,156731.91,0,5,1,0,0,0,1
32,553,9,110112.54,2,0,0,81898.81,0,6,0,1,0,0,1
33,520,6,0.0,2,1,1,34410.55,0,6,0,0,1,1,0
34,722,9,0.0,2,1,1,142033.07,0,3,0,0,1,1,0
35,475,0,134264.04,1,1,0,27822.99,1,6,1,0,0,1,0
36,490,3,145260.23,1,0,1,114066.77,0,4,0,0,1,0,1
37,804,7,76548.6,1,0,1,98453.45,0,4,0,0,1,0,1
38,850,7,0.0,1,1,1,40812.9,0,5,1,0,0,0,1
39,582,6,70349.48,2,0,1,178074.04,0,6,0,1,0,0,1
40,472,4,0.0,1,1,0,70154.22,0,5,0,0,1,0,1
41,465,8,122522.32,1,0,0,181297.65,1,8,1,0,0,1,0
42,556,2,117419.35,1,1,1,94153.83,0,10,1,0,0,1,0
43,834,2,131394.56,1,0,0,194365.76,1,7,1,0,0,1,0
44,660,5,155931.11,1,1,1,158338.39,0,10,0,0,1,1,0
45,776,4,109421.13,2,1,1,126517.46,0,4,0,1,0,1,0
46,829,9,112045.67,1,1,1,119708.21,1,3,0,1,0,1,0
47,637,9,137843.8,1,1,1,117622.8,1,5,0,1,0,1,0
48,550,2,103391.38,1,0,1,90878.13,0,5,0,1,0,0,1
49,776,2,103769.22,2,1,0,194099.12,0,5,0,1,0,1,0
50,698,10,116363.37,2,1,0,198059.16,0,6,0,1,0,0,1
51,585,5,146050.97,2,0,0,86424.57,0,5,0,1,0,0,1
52,788,5,0.0,2,0,0,116978.19,0,4,1,0,0,1,0
53,655,8,125561.97,1,0,0,164040.94,1,6,0,1,0,0,1
54,601,1,98495.72,1,1,0,40014.76,1,6,0,1,0,0,1
55,619,1,125211.92,1,1,1,113410.49,0,6,1,0,0,0,1
56,656,5,127864.4,1,1,0,87107.57,0,6,1,0,0,0,1
57,725,0,75888.2,1,0,0,45613.75,0,1,0,1,0,0,1
59,614,4,40685.92,1,1,1,46775.28,0,4,1,0,0,0,1
60,742,5,136857.0,1,0,0,84509.57,0,3,0,1,0,0,1
61,687,9,152328.88,2,0,0,126494.82,0,4,0,1,0,1,0
62,555,1,56084.69,2,0,0,178798.13,0,9,0,0,1,0,1
63,684,8,78707.16,1,1,1,99398.36,0,3,0,0,1,0,1
64,603,4,109166.37,1,1,1,92840.67,0,5,0,1,0,0,1
65,751,6,169831.46,2,1,1,27758.36,0,4,0,1,0,1,0
66,581,1,101633.04,1,1,0,110431.51,0,6,0,1,0,1,0
67,735,10,123180.01,2,1,1,196673.28,0,4,0,1,0,0,1
68,661,5,150725.53,2,0,1,113656.85,0,2,0,1,0,1,0
69,675,8,98373.26,1,1,0,18203.0,0,9,1,0,0,1,0
70,738,2,133745.44,4,1,0,28373.86,1,3,0,1,0,0,1
71,813,6,0.0,1,1,0,33953.87,0,5,1,0,0,0,1
72,657,0,163607.18,1,0,1,44203.55,0,2,0,0,1,1,0
73,604,5,157780.84,2,1,1,58426.81,0,5,0,1,0,1,0
74,519,9,0.0,2,0,1,145562.4,0,2,1,0,0,0,1
75,735,1,178718.19,2,1,0,22388.0,0,8,1,0,0,1,0
76,664,8,0.0,2,1,1,139161.64,0,4,1,0,0,0,1
77,678,9,0.0,1,1,1,148210.64,0,4,1,0,0,1,0
78,757,5,77253.22,1,0,1,194239.63,0,6,0,0,1,0,1
79,416,10,122189.66,2,1,0,98301.61,0,4,0,1,0,1,0
80,665,1,96645.54,2,0,0,171413.66,0,4,1,0,0,1,0
81,777,2,0.0,1,1,0,136458.19,1,5,1,0,0,1,0
82,543,3,0.0,2,0,0,26019.59,0,4,1,0,0,1,0
83,506,4,90307.62,1,1,1,159235.29,0,7,1,0,0,1,0
84,493,4,0.0,2,1,0,1907.66,0,2,1,0,0,1,0
86,750,3,121681.82,1,1,0,128643.35,1,7,0,0,1,0,1
87,729,9,0.0,2,1,0,151869.35,0,3,1,0,0,0,1
88,646,4,0.0,3,1,0,93251.42,1,6,1,0,0,1,0
89,635,3,81623.67,2,1,1,156791.36,0,6,0,1,0,1,0
90,647,5,0.0,3,1,1,174205.22,1,5,0,0,1,1,0
91,808,7,118626.55,2,1,0,147132.46,0,3,1,0,0,0,1
92,524,10,0.0,2,1,0,109614.57,0,6,1,0,0,1,0
93,769,8,0.0,2,1,1,172290.61,0,4,1,0,0,0,1
94,730,4,0.0,2,0,1,85982.47,0,6,0,0,1,0,1
95,515,10,176273.95,1,0,1,121277.78,0,3,0,0,1,0,1
96,773,9,102827.44,1,0,1,64595.25,0,2,0,0,1,0,1
97,814,8,97086.4,2,1,1,197276.13,0,4,0,1,0,0,1
98,710,8,0.0,2,0,0,99645.04,0,5,0,0,1,0,1
99,413,9,0.0,2,0,0,6534.18,0,6,1,0,0,0,1
100,665,6,0.0,1,1,1,161848.03,0,4,1,0,0,1,0
101,623,6,0.0,2,0,0,167162.43,0,5,1,0,0,1,0
102,738,9,82674.15,1,1,0,41970.72,0,7,1,0,0,0,1
103,528,7,0.0,2,1,0,60536.56,0,4,0,0,1,0,1
105,622,4,107073.27,2,1,1,30984.59,1,4,0,0,1,1,0
